RunDate	Cycle	Response	Enzyme	EnzymeConc	DetStock	CaStock
081203	1	323	B	2.5	Det+	Ca+
081203	2	614.4	B	7.5	Det+	Ca0
081203	3	325.6	B	15	Det0	Ca+
081203	4	161.7	B	7.5	Det0	Ca0
081203	5	545.3	B	2.5	Det+	Ca0
081203	6	213.9	B	7.5	Det0	Ca+
081203	7	4.2	B	0	Det0	Ca+
081203	8	286.9	B	15	Det0	Ca0
081203	9	52.9	B	2.5	Det0	Ca+
081203	10	945.1	B	15	Det+	Ca0
081203	12	189.3	B	0	Det+	Ca+
081203	13	302.6	B	0	Det+	Ca0
081203	14	38	B	2.5	Det0	Ca0
081203	15	0.1	B	0	Det0	Ca0
081203	16	1000.5	B	15	Det+	Ca+
081203	17	711.3	B	7.5	Det+	Ca+
081203	18	893.2	B	7.5	Det+	Ca0
081203	19	545.6	B	2.5	Det+	Ca0
081203	20	1000.5	B	15	Det+	Ca+
081203	21	288.9	B	2.5	Det+	Ca+
081203	22	11.6	B	0	Det0	Ca+
081203	23	292.3	B	15	Det0	Ca0
081203	24	976.6	B	15	Det+	Ca0
081203	25	228.8	B	7.5	Det0	Ca+
081203	26	350.3	B	15	Det0	Ca+
081203	27	114.1	B	0	Det+	Ca0
081203	28	882.5	B	7.5	Det+	Ca+
081203	29	386.7	B	0	Det+	Ca+
081203	31	6.6	B	0	Det0	Ca0
081203	32	53.3	B	2.5	Det0	Ca0
081203	33	190.7	B	7.5	Det0	Ca0
081203	34	66.2	B	2.5	Det0	Ca+
081205	1	290.3	C	0	Det+	Ca0
081205	2	560.2	C	0	Det+	Ca+
081205	3	19.8	C	0	Det0	Ca+
081205	4	984.3	C	7.5	Det+	Ca0
081205	6	85.6	C	7.5	Det0	Ca+
081205	7	165.1	C	7.5	Det0	Ca0
081205	8	934.5	C	15	Det+	Ca+
081205	9	22.3	C	2.5	Det0	Ca0
081205	10	528.2	C	2.5	Det+	Ca+
081205	11	29.5	C	2.5	Det0	Ca+
081205	12	524.9	C	2.5	Det+	Ca0
081205	13	271.1	C	15	Det0	Ca0
081205	14	11.4	C	0	Det0	Ca0
081205	15	1133.7	C	15	Det+	Ca0
081205	16	201.9	C	15	Det0	Ca+
081205	17	824.8	C	7.5	Det+	Ca+
081205	18	924.6	C	15	Det+	Ca+
081205	19	121.1	C	7.5	Det0	Ca+
081205	20	26	C	2.5	Det0	Ca+
081205	21	824.8	C	7.5	Det+	Ca+
081205	22	13.9	C	0	Det0	Ca0
081205	23	1117	C	15	Det+	Ca0
081205	24	940	C	7.5	Det+	Ca0
081205	25	457.6	C	2.5	Det+	Ca0
081205	26	22.1	C	0	Det0	Ca+
081205	27	443.1	C	0	Det+	Ca+
081205	28	532.4	C	2.5	Det+	Ca+
081205	29	203.9	C	15	Det0	Ca+
081205	30	368.1	C	0	Det+	Ca0
081205	31	287.3	C	15	Det0	Ca0
081205	33	173.5	C	7.5	Det0	Ca0
081205	34	32.4	C	2.5	Det0	Ca0
081208	2	95.4	D	15	Det0	Ca0
081208	3	87.8	D	7.5	Det0	Ca+
081208	4	152	D	15	Det0	Ca+
081208	5	742.1	D	15	Det+	Ca0
081208	6	14.2	D	2.5	Det0	Ca0
081208	7	255.5	D	0	Det+	Ca0
081208	8	731.3	D	15	Det+	Ca+
081208	9	577.7	D	7.5	Det+	Ca0
081208	10	343.6	D	2.5	Det+	Ca+
081208	11	390.6	D	0	Det+	Ca+
081208	12	7.8	D	0	Det0	Ca0
081208	13	12.9	D	0	Det0	Ca+
081208	14	341.4	D	2.5	Det+	Ca0
081208	15	47.1	D	7.5	Det0	Ca0
081208	16	34.7	D	2.5	Det0	Ca+
081208	17	499.3	D	7.5	Det+	Ca+
081208	18	20.1	D	2.5	Det0	Ca0
081208	19	681	D	7.5	Det+	Ca+
081208	20	162.3	D	15	Det0	Ca+
081208	21	343.6	D	2.5	Det+	Ca+
081208	22	14.6	D	0	Det0	Ca+
081208	23	656.6	D	15	Det+	Ca+
081208	24	38.1	D	2.5	Det0	Ca+
081208	25	415.6	D	2.5	Det+	Ca0
081208	26	102.1	D	15	Det0	Ca0
081208	27	154.9	D	0	Det+	Ca0
081208	28	577.7	D	7.5	Det+	Ca0
081208	29	282	D	0	Det+	Ca+
081208	31	102.8	D	7.5	Det0	Ca+
081208	32	56.6	D	7.5	Det0	Ca0
081208	33	11.1	D	0	Det0	Ca0
081208	34	543.8	D	15	Det+	Ca0
081125	1	1493.8	A	15	Det+	Ca+
081125	2	413	A	7.5	Det0	Ca0
081125	3	411.3	A	0	Det+	Ca0
081125	4	596.5	A	15	Det0	Ca0
081125	5	144.7	A	2.5	Det0	Ca+
081125	6	681.7	A	2.5	Det+	Ca+
081125	7	1261.5	A	7.5	Det+	Ca0
081125	8	372.3	A	0	Det+	Ca+
081125	9	202.4	A	2.5	Det0	Ca0
081125	10	13.2	A	0	Det0	Ca0
081125	11	1588	A	15	Det+	Ca0
081125	12	969.7	A	2.5	Det+	Ca0
081125	14	23.6	A	0	Det0	Ca+
081125	15	1069.4	A	7.5	Det+	Ca+
081125	16	434.7	A	7.5	Det0	Ca+
081125	17	570.7	A	15	Det0	Ca+
081125	18	588.4	A	15	Det0	Ca0
081125	19	228.4	A	2.5	Det0	Ca0
081125	20	1141.3	A	7.5	Det+	Ca+
081125	21	538.3	A	0	Det+	Ca+
081125	22	340.3	A	0	Det+	Ca0
081125	23	21	A	0	Det0	Ca0
081125	24	730.9	A	2.5	Det+	Ca+
081125	25	579.2	A	15	Det0	Ca+
081125	26	232.3	A	2.5	Det0	Ca+
081125	27	969.7	A	2.5	Det+	Ca0
081125	28	441.5	A	7.5	Det0	Ca+
081125	29	430.7	A	7.5	Det0	Ca0
081125	30	1242.7	A	7.5	Det+	Ca0
081125	31	31	A	0	Det0	Ca+
081125	32	1475.6	A	15	Det+	Ca+
081125	33	1554.7	A	15	Det+	Ca0
081127	1	182.1	E	7.5	Det0	Ca+
081127	2	1047.8	E	15	Det+	Ca0
081127	3	1153.1	E	15	Det+	Ca+
081127	4	36.1	E	2.5	Det0	Ca0
081127	5	154.8	E	7.5	Det0	Ca0
081127	6	14.4	E	0	Det0	Ca0
081127	7	1022.2	E	7.5	Det+	Ca0
081127	8	43.7	E	2.5	Det0	Ca+
081127	10	348.1	E	0	Det+	Ca0
081127	11	314.3	E	15	Det0	Ca+
081127	12	770	E	2.5	Det+	Ca+
081127	13	564.8	E	0	Det+	Ca+
081127	14	30.6	E	0	Det0	Ca+
081127	15	1026.7	E	7.5	Det+	Ca+
081127	16	584.8	E	2.5	Det+	Ca0
081127	17	317.6	E	15	Det0	Ca0
081127	18	32.2	E	0	Det0	Ca+
081127	19	22.5	E	0	Det0	Ca0
081127	20	174.2	E	2.5	Det+	Ca+
081127	21	210.4	E	7.5	Det0	Ca+
081127	22	1046.7	E	15	Det+	Ca+
081127	23	1022.2	E	7.5	Det+	Ca0
081127	24	92.2	E	2.5	Det0	Ca+
081127	25	293.3	E	15	Det0	Ca+
081127	26	1162.7	E	15	Det+	Ca0
081127	27	1026.7	E	7.5	Det+	Ca+
081127	28	321.7	E	15	Det0	Ca0
081127	30	370.1	E	0	Det+	Ca+
081127	31	87.4	E	2.5	Det0	Ca0
081127	32	845.3	E	2.5	Det+	Ca0
081127	33	201.3	E	7.5	Det0	Ca0
081127	34	175.7	E	0	Det+	Ca0
